name,description
Renegade Row (Dumbbell),"En plancha sobre las mancuernas, jala una hacia la cadera manteniendo la cadera estable, y alterna."
Reverse Crunch,"Acostado boca arriba, lleva las rodillas hacia el pecho despegando la cadera del piso."
Reverse Curl (Barbell),"Curl con agarre prono, que carga el braquiorradial y los antebrazos."
Reverse Curl (Cable),Curl con agarre prono en polea baja.
Reverse Curl (Dumbbell),Curl con las palmas hacia abajo durante todo el recorrido.
Reverse Fly Single Arm (Cable),"Apertura posterior en polea con un brazo a la vez, llevando la mano hacia atrás en arco."
Reverse Grip Concentration Curl,Curl concentrado con agarre prono para enfatizar el antebrazo.
Reverse Grip Lat Pulldown (Cable),"Jalón al pecho con agarre supino, que aumenta la participación del bíceps."
Reverse Hyperextension,"Boca abajo con el torso apoyado, eleva las piernas extendidas hacia atrás contrayendo glúteos e isquiotibiales."
Reverse Lunge,Da un paso hacia atrás y baja hasta que ambas rodillas formen ángulo recto. Es más amable con la rodilla delantera que la zancada al frente.
Reverse Lunge (Barbell),Zancada hacia atrás con barra en la espalda alta.
Reverse Lunge (Dumbbell),Zancada hacia atrás sosteniendo mancuernas a los costados.
Reverse Plank,"Sentado con las manos apoyadas atrás, eleva la cadera hasta alinear el cuerpo y sostén la posición."
Ring Dips,"Fondos en anillas, con la exigencia añadida de estabilizar el agarre inestable."
Romanian Deadlift (Barbell),"Con las rodillas ligeramente flexionadas, lleva la cadera hacia atrás bajando la barra pegada a las piernas hasta sentir estiramiento en los isquiotibiales."
Romanian Deadlift (Dumbbell),"Peso muerto rumano con mancuernas, bajando pegadas a las piernas con la espalda recta."
Rope Cable Curl,"Curl de bíceps con cuerda en polea baja, girando ligeramente las muñecas al final."
Rope Straight Arm Pulldown,"Con los brazos extendidos y la cuerda en polea alta, jala hacia los muslos sin flexionar los codos."
Rowing Machine,"Remo en máquina: empuja con las piernas, inclina el torso y jala con los brazos, en ese orden."
Running,"Carrera continua en exteriores o cinta, a ritmo sostenido o por intervalos."
Russian Twist (Bodyweight),"Sentado con el torso inclinado atrás y los pies elevados, gira el torso de lado a lado."
Russian Twist (Weighted),Giro de torso sentado sosteniendo un disco o balón medicinal.
Scapular Pull Ups,"Colgado con los brazos extendidos, desciende y eleva el cuerpo moviendo solo los omóplatos, sin flexionar los codos."
Seated Cable Row - Bar Grip,"Remo sentado en polea con barra recta, llevando los codos hacia atrás y el pecho erguido."
Seated Cable Row - Bar Wide Grip,"Remo sentado en polea con agarre ancho, que enfatiza la espalda alta."
Seated Cable Row - V Grip (Cable),"Remo sentado con agarre en V, llevando el mango al abdomen y juntando los omóplatos."
Seated Calf Raise,"Sentado con la carga sobre los muslos, eleva los talones extendiendo los tobillos. Enfatiza el sóleo."
Seated Chest Flys (Cable),"Apertura de pecho sentado en poleas, juntando las manos al frente en arco."
Seated Dip Machine,"Fondo de tríceps en máquina sentado, empujando los agarres hacia abajo hasta extender los codos."
Seated Incline Curl (Dumbbell),"Sentado en banco inclinado con los brazos colgando atrás, flexiona los codos. El estiramiento inicial es mayor."
Seated Lateral Raise (Dumbbell),"Elevación lateral sentado, que reduce el impulso del torso."
Seated Leg Curl (Machine),"Sentado en la máquina, flexiona las rodillas llevando los talones hacia abajo y atrás."
Seated Overhead Press (Barbell),"Press por encima de la cabeza sentado con respaldo, lo que limita el impulso de piernas."
Seated Overhead Press (Dumbbell),Press por encima de la cabeza sentado con mancuernas.
Seated Palms Up Wrist Curl,"Sentado con los antebrazos apoyados en los muslos y las palmas arriba, flexiona solo las muñecas."
Seated Row (Machine),"Remo sentado en máquina con el pecho apoyado, jalando los agarres hacia el torso."
Seated Shoulder Press (Machine),"Press de hombros en máquina sentado, con recorrido guiado."
Seated Triceps Press,"Sentado con la mancuerna sostenida detrás de la cabeza, extiende los codos hacia arriba sin abrirlos."
Seated Wrist Extension (Barbell),"Sentado con los antebrazos apoyados y las palmas hacia abajo, extiende las muñecas elevando la barra."
Shoulder Press (Dumbbell),Press de hombros con mancuernas desde la altura de las orejas hasta extender los brazos arriba.
Shoulder Press (Machine Plates),"Press de hombros en máquina de discos, con recorrido guiado."
Shoulder Taps,"En posición de plancha alta, toca alternadamente el hombro contrario con cada mano sin girar la cadera."
Shrug (Barbell),"De pie con la barra al frente, encoge los hombros hacia las orejas y baja con control. No gires los hombros."
Shrug (Cable),Encogimiento de hombros en polea baja.
Shrug (Dumbbell),Encogimiento de hombros con mancuernas a los costados.
Shrug (Machine),"Encogimiento de hombros en máquina, con recorrido guiado."
Shrug (Smith Machine),Encogimiento de hombros en multipower.
Side Bend,"De pie, inclina el torso hacia un costado y regresa, trabajando los oblicuos."
Side Bend (Dumbbell),Inclinación lateral del torso sosteniendo una mancuerna en la mano del lado que baja.
Side Plank,"Apoyado en un antebrazo y el canto del pie, mantén el cuerpo alineado sin dejar caer la cadera."
Single Arm Cable Crossover,"Cruce de polea con un brazo a la vez, llevando la mano hacia el centro del cuerpo."
Single Arm Cable Row,"Remo en polea con un brazo, permitiendo un recorrido mayor y trabajo unilateral."
Single Arm Curl (Cable),Curl de bíceps en polea con un brazo a la vez.
Single Arm Landmine Press (Barbell),"Press con el extremo de la barra en anclaje landmine, empujando en diagonal hacia arriba y al frente."
Single Arm Lat Pulldown,"Jalón en polea alta con un brazo, que permite mayor rango y corrige asimetrías."
Single Arm Lateral Raise (Cable),"Elevación lateral en polea con un brazo, con tensión constante."
Single Arm Tricep Extension (Dumbbell),"Extensión de tríceps con una mancuerna detrás de la cabeza, un brazo a la vez."
Single Arm Triceps Pushdown (Cable),"Extensión de tríceps en polea alta con un brazo, con agarre supino o prono."
Single Leg Extensions,Extensión de rodilla en máquina con una pierna a la vez.
Single Leg Glute Bridge,"Puente de glúteo con una sola pierna apoyada, manteniendo la cadera nivelada."
Single Leg Hip Thrust,Empuje de cadera a una pierna con la espalda apoyada en un banco.
Single Leg Hip Thrust (Dumbbell),Empuje de cadera a una pierna con una mancuerna apoyada sobre la pelvis.
Single Leg Press (Machine),"Prensa de piernas con una pierna a la vez, para corregir diferencias entre lados."
Single Leg Romanian Deadlift (Barbell),"Peso muerto rumano a una pierna con barra, llevando la pierna libre hacia atrás mientras el torso baja."
Single Leg Romanian Deadlift (Dumbbell),"Peso muerto rumano a una pierna con mancuerna, manteniendo la cadera cerrada y la espalda recta."
Single Leg Standing Calf Raise,"Elevación de talón a una pierna de pie, con apoyo para el equilibrio."
Single Leg Standing Calf Raise (Barbell),Elevación de talón a una pierna con barra en la espalda.
Single Leg Standing Calf Raise (Dumbbell),Elevación de talón a una pierna sosteniendo una mancuerna del mismo lado.
Single Leg Standing Calf Raise (Machine),Elevación de talón a una pierna en máquina de pie.
Sissy Squat (Weighted),"Con las rodillas adelantadas y el cuerpo inclinado atrás, baja flexionando las rodillas sosteniendo un disco en el pecho."
Sit Up,"Acostado boca arriba con las rodillas flexionadas, eleva el torso completo hasta sentarte y baja con control."
Sit Up (Weighted),Abdominal completo sosteniendo un disco contra el pecho.
Skating,"Patinaje continuo, con trabajo de piernas, glúteos y equilibrio."
Skiing,"Esquí en pista, con trabajo sostenido de piernas y core para controlar la bajada."
Skullcrusher (Barbell),"Acostado con la barra sobre el pecho, flexiona solo los codos bajando la barra hacia la frente y extiende sin mover los hombros."
Skullcrusher (Dumbbell),"Extensión de tríceps acostado con mancuernas, bajando hacia la frente o los lados de la cabeza."
Sled Push,Empuja el trineo cargado con el torso inclinado y pasos cortos y potentes.
Snatch,"Levantamiento olímpico que lleva la barra del piso a sobre la cabeza en un solo movimiento, recibiéndola en sentadilla."
Snowboarding,"Descenso en tabla de nieve, con trabajo continuo de piernas, core y equilibrio."
Spider Curl (Barbell),"Boca abajo en un banco inclinado con los brazos colgando, flexiona los codos sin mover los hombros."
Spider Curl (Dumbbell),"Curl spider con mancuernas, boca abajo en banco inclinado."
Spiderman,"En plancha, lleva la rodilla hacia el codo del mismo lado y alterna."
Spinning,"Ciclismo indoor por intervalos, alternando cadencia y resistencia."
Split Jerk,Envión por encima de la cabeza recibiendo la barra con las piernas en tijera.
Split Squat (Dumbbell),"Sentadilla dividida con los pies fijos en posición de zancada, sosteniendo mancuernas."
Sprints,Series de carrera a máxima velocidad separadas por recuperación.
Squat (Band),"Sentadilla con banda elástica, que aumenta la resistencia en la parte alta del recorrido."
Squat (Barbell),"Con la barra en la espalda alta, baja llevando la cadera atrás hasta al menos la paralela y sube empujando con los talones. Mantén la espalda neutra y las rodillas alineadas con los pies."
Squat (Bodyweight),"Sentadilla con peso corporal, bajando con la espalda recta y los talones apoyados."
Squat (Dumbbell),Sentadilla sosteniendo mancuernas a los costados o sobre los hombros.
Squat (Machine),"Sentadilla en máquina guiada, con la espalda apoyada."
Squat (Smith Machine),"Sentadilla en multipower, con la trayectoria de la barra guiada verticalmente."
Squat (Suspension),Sentadilla sujetando las cintas de suspensión para asistir el equilibrio y la profundidad.
Squat Row,Combinación de sentadilla y remo: baja en sentadilla y al subir jala el agarre hacia el torso.
Stair Machine,"Subida continua de escalones en máquina, a ritmo sostenido."
Standing Cable Glute Kickbacks,"De pie con la tobillera en polea baja, lleva la pierna hacia atrás extendiendo la cadera."
Standing Calf Raise,"De pie, eleva los talones lo más alto posible y baja hasta sentir estiramiento en el gemelo."
Standing Calf Raise (Barbell),Elevación de talones de pie con barra en la espalda alta.
Standing Calf Raise (Dumbbell),Elevación de talones de pie sosteniendo mancuernas a los costados.
Standing Calf Raise (Machine),"Elevación de talones en máquina de pie, con la carga sobre los hombros."
Standing Calf Raise (Smith),Elevación de talones de pie en multipower.
Standing Leg Curls,"De pie, flexiona una rodilla llevando el talón hacia el glúteo contra la resistencia."
Standing Military Press (Barbell),"Press militar de pie con barra, sin impulso de piernas y con el abdomen firme."
Step Up,"Sube a un cajón o banco con una pierna, extendiendo la cadera arriba, y baja con control."
Sternum Pull up (Gironda),"Dominada llevando el esternón hacia la barra, inclinando el torso hacia atrás en la subida."
Straight Arm Lat Pulldown (Cable),"Con los brazos extendidos, jala la barra desde arriba hasta los muslos sin flexionar los codos."
Straight Leg Deadlift,"Peso muerto con las piernas casi extendidas, bajando la barra con la espalda recta."
Stretching,Trabajo de flexibilidad manteniendo posiciones de estiramiento con respiración controlada.
Sumo Deadlift,Peso muerto con los pies muy separados y las manos por dentro de las rodillas. Reduce el recorrido y carga más las piernas.
Sumo Squat,"Sentadilla con los pies separados y las puntas hacia afuera, con mayor trabajo de aductores y glúteos."
Sumo Squat (Barbell),Sentadilla sumo con barra en la espalda alta.
Sumo Squat (Dumbbell),Sentadilla sumo sosteniendo una mancuerna entre las piernas.
Sumo Squat (Kettlebell),Sentadilla sumo sosteniendo una pesa rusa entre las piernas.
Superman,"Boca abajo, eleva al mismo tiempo brazos y piernas extendidos contrayendo la espalda baja y los glúteos."
Swimming,"Nado continuo, con trabajo cardiovascular de cuerpo completo y bajo impacto."
T Bar Row,"Con el torso inclinado y la barra anclada, jala el agarre hacia el abdomen juntando los omóplatos."
Thruster (Barbell),"Sentadilla frontal seguida sin pausa de un press por encima de la cabeza, aprovechando el impulso de la subida."
Thruster (Kettlebell),Sentadilla con pesas rusas en rack seguida de un press por encima de la cabeza.
Toe Touch,"Acostado boca arriba con las piernas elevadas, eleva el torso llevando las manos hacia los pies."
Toes to Bar,"Colgado de la barra, eleva las piernas extendidas hasta tocar la barra con los pies."
Torso Rotation,"Rotación de torso en máquina o de pie, girando de forma controlada hacia cada lado."
Treadmill,"Caminata o carrera en cinta, con velocidad e inclinación regulables."
Triceps Dip,"En paralelas con el torso vertical, baja flexionando los codos y empuja hasta extenderlos."
Triceps Dip (Assisted),Fondo de tríceps con asistencia de máquina o banda.
Triceps Dip (Weighted),Fondo de tríceps con lastre en cinturón o entre las piernas.
Triceps Extension (Barbell),"Extensión de tríceps con barra por encima de la cabeza, flexionando solo los codos."
Triceps Extension (Cable),"Extensión de tríceps en polea, manteniendo los codos fijos junto al torso."
Triceps Extension (Dumbbell),"Extensión de tríceps con mancuerna detrás de la cabeza, con los codos apuntando arriba."
Triceps Extension (Machine),"Extensión de tríceps en máquina, con recorrido guiado."
Triceps Extension (Suspension),"Con las cintas de suspensión e inclinado al frente, flexiona los codos llevando las manos a la frente y extiende."
Triceps Kickback (Cable),"Con el torso inclinado y el codo fijo atrás, extiende el antebrazo hacia atrás en polea."
Triceps Kickback (Dumbbell),"Con el torso inclinado y el codo pegado al costado, extiende el antebrazo hacia atrás."
Triceps Pressdown,Extensión de tríceps en polea alta empujando hacia abajo hasta extender los codos.
Triceps Pushdown,"Extensión de tríceps en polea alta con barra, manteniendo los codos junto al torso."
Triceps Rope Pushdown,"Extensión de tríceps en polea alta con cuerda, separando los extremos al final del recorrido."
Upright Row (Barbell),Jala la barra hacia arriba pegada al cuerpo llevando los codos por encima de las muñecas hasta la altura del pecho.
Upright Row (Cable),"Remo al mentón en polea baja, con los codos guiando el movimiento."
Upright Row (Dumbbell),"Remo al mentón con mancuernas, subiendo pegadas al cuerpo."
V Up,"Acostado boca arriba, eleva torso y piernas extendidas al mismo tiempo formando una V y baja con control."
Walking,"Caminata continua a ritmo sostenido, de bajo impacto."
Walking Lunge,"Zancadas avanzando paso a paso, manteniendo el torso erguido en cada repetición."
Walking Lunge (Dumbbell),Zancadas caminando con mancuernas a los costados.
Wall Ball,"Sentadilla sosteniendo el balón en el pecho y, al subir, lánzalo contra un objetivo en la pared. Recíbelo y encadena la siguiente repetición."
Wall Sit,"Con la espalda apoyada en la pared y las rodillas en ángulo recto, sostén la posición el tiempo indicado."
Warm Up,Calentamiento previo: movilidad articular y trabajo cardiovascular suave para preparar el cuerpo.
Wide Pull Up,"Dominada con agarre más abierto que los hombros, que enfatiza el dorsal ancho."
Wrist Roller,"De pie con los brazos extendidos, enrolla la cuerda con las muñecas para subir la carga y desenróllala controlando."
Yoga,"Secuencias de posturas con control de la respiración, que trabajan flexibilidad, equilibrio y fuerza isométrica."
Zercher Squat,"Sentadilla con la barra sostenida en el hueco de los codos, lo que exige mantener el torso muy erguido."
Zottman Curl (Dumbbell),"Sube con agarre supino y, en la parte alta, gira las muñecas para bajar con agarre prono."
